Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
402_42week,10,0,3,7,2,3,38.96,7.32,21.72,37.04,10.56,14.76,17.4394,13.3781,15.5047,14.9076,13.4603,15.5191,4.333333333,22.66666667,15.44073333,4,20.78666667,14.629,4.166666667,21.72666667,15.03486667
403_42week,9,6,7,7,8,2,34.2,30.28,22.44,22.92,14.92,14.04,16.244,14.9599,12.942,13.7306,11.2991,11.9778,7.333333333,28.97333333,14.7153,5.666666667,17.29333333,12.33583333,6.5,23.13333333,13.52556667
404_42week,9,3,4,1,5,2,41.04,16.16,26.6,22.96,24.24,17.28,16.8393,13.5604,12.9059,11.9462,13.7895,13.2949,5.333333333,27.93333333,14.4352,2.666666667,21.49333333,13.0102,4,24.71333333,13.7227
405_42week,4,3,5,0,9,5,16.92,9.44,14,3.44,35.04,20.4,17.221,17.0268,19.0158,12.4167,19.4364,16.8199,4,13.45333333,17.75453333,4.666666667,19.62666667,16.22433333,4.333333333,16.54,16.98943333
406_42week,9,3,5,5,0,6,32.76,14.76,18.64,18.88,0.88,16.24,15.3502,15.6597,16.4701,17.3772,12.4764,16.5806,5.666666667,22.05333333,15.82666667,3.666666667,12,15.47806667,4.666666667,17.02666667,15.65236667
407_42week,6,11,9,2,2,7,30.52,33.36,32.4,13.92,9.88,28.12,15.7372,17.2078,15.0723,11.6594,13.4339,16.8854,8.666666667,32.09333333,16.00576667,3.666666667,17.30666667,13.9929,6.166666667,24.7,14.99933333
408_42week,9,10,8,1,3,3,33.32,38.48,29.36,5.28,14.2,12.76,16.1393,18.051,17.1864,13.2162,14.5756,15.6965,9,33.72,17.12556667,2.333333333,10.74666667,14.4961,5.666666667,22.23333333,15.81083333
409_42week,10,15,6,10,9,9,40.36,40.28,25.6,34.2,33.44,34.88,18.8925,16.8606,13.8582,15.9661,14.9689,15.1746,10.33333333,35.41333333,16.5371,9.333333333,34.17333333,15.36986667,9.833333333,34.79333333,15.95348333
410_42week,5,11,7,8,11,5,24.84,39.24,24.12,28.76,36.8,18.6,15.5164,20.7404,18.7143,17.7648,19.7352,17.53,7.666666667,29.4,18.3237,8,28.05333333,18.34333333,7.833333333,28.72666667,18.33351667
411_42week,,,,,,,,,,,,,,,,,,,,,,,,,,,
412_42week,7,0,8,0,3,1,44.6,4.52,38.48,7.96,14.72,12,16.3746,12.3691,15.943,8.82028,12.4658,12.4483,5,29.2,14.89556667,1.333333333,11.56,11.24479333,3.166666667,20.38,13.07018
413_42week,,10,9,7,2,1,,37.72,43.52,27.92,10.08,3,,19.9624,16.9153,13.7946,13.4747,15.7338,9.5,40.62,18.43885,3.333333333,13.66666667,14.33436667,5.8,24.448,15.97616
414_42week,8,8,7,0,7,8,33.32,39.96,28.04,1.36,33.44,36.76,13.5311,14.9296,15.8057,10.3238,13.5089,14.236,7.666666667,33.77333333,14.75546667,5,23.85333333,12.68956667,6.333333333,28.81333333,13.72251667
415_42week,9,4,5,1,3,2,43,7.8,16.56,3.36,13.64,8.24,16.7807,15.512,15.7472,14.4462,17.3904,16.943,6,22.45333333,16.0133,2,8.413333333,16.25986667,4,15.43333333,16.13658333
416_42week,7,8,1,3,7,4,23.64,27.16,9.84,11.84,37.92,14.48,17.3946,16.7145,14.1988,16.694,14.937,14.624,5.333333333,20.21333333,16.10263333,4.666666667,21.41333333,15.41833333,5,20.81333333,15.76048333
417_42week,9,5,9,0,2,4,35.12,16.68,43.24,11.88,13.8,22.88,16.5461,14.0001,14.4213,11.7217,13.328,14.5027,7.666666667,31.68,14.98916667,2,16.18666667,13.18413333,4.833333333,23.93333333,14.08665
418_42week,6,6,3,7,9,6,28.24,24.8,11.64,32.48,34.64,26.04,17.294,17.2614,16.759,16.7637,17.5481,14.363,5,21.56,17.1048,7.333333333,31.05333333,16.22493333,6.166666667,26.30666667,16.66486667
419_42week,1,10,1,0,4,2,18.12,32.28,10.2,5.84,24.84,11.36,14.3203,17.3562,11.6209,10.39,14.6705,14.1745,4,20.2,14.43246667,2,14.01333333,13.07833333,3,17.10666667,13.7554
420_42week,12,7,14,0,0,2,43.12,27.36,39.44,0.64,0.8,6.52,17.8338,15.5836,18.0688,13.708,13.4482,12.0733,11,36.64,17.16206667,0.666666667,2.653333333,13.0765,5.833333333,19.64666667,15.11928333
421_42week,11,5,2,0,1,4,35.28,21.56,10.6,2.76,2.56,29.88,19.2837,17.2021,13.893,9.98869,12.8998,15.527,6,22.48,16.79293333,1.666666667,11.73333333,12.80516333,3.833333333,17.10666667,14.79904833
422_42week,9,5,7,2,9,3,42.28,22.48,45.64,12.32,43.24,19.92,17.8315,17.2426,13.3155,8.30137,14.7624,13.9552,7,36.8,16.12986667,4.666666667,25.16,12.33965667,5.833333333,30.98,14.23476167
423_42week,12,1,1,4,2,3,31.76,6.44,6.56,18.52,15.96,37.72,17.9349,13.9241,16.8045,13.4193,13.6524,14.9661,4.666666667,14.92,16.22116667,3,24.06666667,14.0126,3.833333333,19.49333333,15.11688333
424_42week,9,5,9,9,4,4,34.56,47,34.76,30.16,42.64,22.88,16.276,14.2556,14.4376,14.6832,11.8961,12.6334,7.666666667,38.77333333,14.98973333,5.666666667,31.89333333,13.0709,6.666666667,35.33333333,14.03031667
425_42week,11,3,4,0,1,2,39.8,10.92,10.56,1.88,5.36,10.8,19.0238,17.8707,14.966,12.7607,14.6997,15.5299,6,20.42666667,17.28683333,1,6.013333333,14.3301,3.5,13.22,15.80846667
427_42week,7,9,6,8,6,3,42.6,40.64,29.12,33.44,23.56,10.44,16.5896,18.0332,15.2733,16.294,15.2367,15.5309,7.333333333,37.45333333,16.63203333,5.666666667,22.48,15.6872,6.5,29.96666667,16.15961667
428_42week,5,7,2,1,0,5,54.2,39.32,14.44,7.24,3.64,22.56,15.1486,14.0306,12.9182,11.8586,10.5879,15.6898,4.666666667,35.98666667,14.03246667,2,11.14666667,12.7121,3.333333333,23.56666667,13.37228333
