Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
332_42week,8,4,6,0,1,4,37.12,36.16,40.52,4.8,12.88,6.48,14.2712,12.8465,13.2159,9.99123,12.2908,14.8187,6,37.93333333,13.44453333,1.666666667,8.053333333,12.36691,3.833333333,22.99333333,12.90572167
333_42week,10,8,5,4,3,3,39.28,38.04,45.4,22.8,24.76,17.44,17.2494,14.1343,12.5415,6.29135,7.66156,7.08644,7.666666667,40.90666667,14.64173333,3.333333333,21.66666667,7.013116667,5.5,31.28666667,10.827425
334_42week,10,1,0,0,3,2,34.52,7.08,4.04,3.6,14.84,12.64,15.8045,13.35,12.8006,11.1418,15.0314,12.0838,3.666666667,15.21333333,13.98503333,1.666666667,10.36,12.75233333,2.666666667,12.78666667,13.36868333
335_42week,4,2,4,2,1,2,18.48,7.44,25.12,14.16,11.36,9.2,14.6563,16.846,13.8876,15.3743,13.7849,14.999,3.333333333,17.01333333,15.12996667,1.666666667,11.57333333,14.7194,2.5,14.29333333,14.92468333
336_42week,8,6,5,1,0,1,37.96,21.24,18.32,4.56,1.12,5.32,16.6614,16.807,15.605,11.8689,12.4424,13.0562,6.333333333,25.84,16.3578,0.666666667,3.666666667,12.45583333,3.5,14.75333333,14.40681667
337_42week,7,5,7,2,2,1,40.08,17.12,30.96,15.28,8.28,2.56,17.3394,14.6694,15.1122,11.9873,14.613,11.706,6.333333333,29.38666667,15.707,1.666666667,8.706666667,12.76876667,4,19.04666667,14.23788333
338_42week,8,9,0,1,1,0,35.88,32.96,19,7.68,7.4,3.2,16.3733,14.4607,11.6734,12.237,13.1994,10.8236,5.666666667,29.28,14.16913333,0.666666667,6.093333333,12.08666667,3.166666667,17.68666667,13.1279
339_42week,6,9,6,3,2,1,50.48,34.12,40.52,9.92,12.56,8.24,13.4343,17.2837,11.7254,9.70644,6.66124,4.23706,7,41.70666667,14.1478,2,10.24,6.868246667,4.5,25.97333333,10.50802333
340_42week,7,2,7,3,9,2,40.88,9.68,25.88,12.08,36.2,12.68,13.4705,16.5675,16.6985,15.8846,16.5965,13.4994,5.333333333,25.48,15.57883333,4.666666667,20.32,15.32683333,5,22.9,15.45283333
341_42week,7,3,6,6,1,1,38.16,9.84,32.88,25.84,6,3.4,14.1258,9.20441,9.72238,11.1129,7.83145,9.62119,5.333333333,26.96,11.01753,2.666666667,11.74666667,9.521846667,4,19.35333333,10.26968833
